scan.prefix,scan.dir,path.to.scan,scan.position,crop.name,path.to.crop,grouper,colorer,filterer,linetyper,time.fed,trim.before,trim.after,facet_wrap,crop.coords
N2_CB4856_chrom_sub_cisp_scanner_1.plate5,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data/,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data//N2_CB4856_chrom_sub_cisp_scanner_1.plate5,3,3_N2_CB4856_chrom_sub_cisp_scanner_1.plate5,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data_cropped/3_N2_CB4856_chrom_sub_cisp_scanner_1.plate5,C_0uM_2,0uM,TRUE,2,24-05-20_13-12,NA,NA,C,NA
N2_CB4856_chrom_sub_cisp_scanner_1.plate5,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data/,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data//N2_CB4856_chrom_sub_cisp_scanner_1.plate5,4,4_N2_CB4856_chrom_sub_cisp_scanner_1.plate5,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data_cropped/4_N2_CB4856_chrom_sub_cisp_scanner_1.plate5,G_100uM_2,100uM,TRUE,2,24-05-20_13-32,NA,NA,G,NA
N2_CB4856_chrom_sub_cisp_scanner_1.plate6,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data/,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data//N2_CB4856_chrom_sub_cisp_scanner_1.plate6,1,1_N2_CB4856_chrom_sub_cisp_scanner_1.plate6,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data_cropped/1_N2_CB4856_chrom_sub_cisp_scanner_1.plate6,A_100uM_1,100uM,TRUE,1,24-05-20_13-17,NA,NA,A,NA
N2_CB4856_chrom_sub_cisp_scanner_1.plate6,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data/,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data//N2_CB4856_chrom_sub_cisp_scanner_1.plate6,2,2_N2_CB4856_chrom_sub_cisp_scanner_1.plate6,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data_cropped/2_N2_CB4856_chrom_sub_cisp_scanner_1.plate6,A_0uM_2,0uM,TRUE,2,24-05-20_13-19,NA,NA,A,NA
N2_CB4856_chrom_sub_cisp_scanner_1.plate6,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data/,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data//N2_CB4856_chrom_sub_cisp_scanner_1.plate6,3,3_N2_CB4856_chrom_sub_cisp_scanner_1.plate6,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data_cropped/3_N2_CB4856_chrom_sub_cisp_scanner_1.plate6,E_100uM_2,100uM,TRUE,2,24-05-20_13-30,NA,NA,E,NA
N2_CB4856_chrom_sub_cisp_scanner_1.plate7,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data/,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data//N2_CB4856_chrom_sub_cisp_scanner_1.plate7,1,1_N2_CB4856_chrom_sub_cisp_scanner_1.plate7,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data_cropped/1_N2_CB4856_chrom_sub_cisp_scanner_1.plate7,C_100uM_1,100uM,TRUE,1,24-05-20_13-20,NA,NA,C,NA
N2_CB4856_chrom_sub_cisp_scanner_1.plate7,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data/,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data//N2_CB4856_chrom_sub_cisp_scanner_1.plate7,2,2_N2_CB4856_chrom_sub_cisp_scanner_1.plate7,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data_cropped/2_N2_CB4856_chrom_sub_cisp_scanner_1.plate7,F_0uM_1,0uM,TRUE,1,24-05-20_13-25,NA,NA,F,NA
N2_CB4856_chrom_sub_cisp_scanner_1.plate7,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data/,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data//N2_CB4856_chrom_sub_cisp_scanner_1.plate7,3,3_N2_CB4856_chrom_sub_cisp_scanner_1.plate7,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data_cropped/3_N2_CB4856_chrom_sub_cisp_scanner_1.plate7,C_100uM_2,100uM,TRUE,2,24-05-20_13-20,NA,NA,C,NA
N2_CB4856_chrom_sub_cisp_scanner_1.plate7,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data/,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data//N2_CB4856_chrom_sub_cisp_scanner_1.plate7,4,4_N2_CB4856_chrom_sub_cisp_scanner_1.plate7,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data_cropped/4_N2_CB4856_chrom_sub_cisp_scanner_1.plate7,H_0uM_1,0uM,TRUE,1,24-05-20_13-28,NA,NA,H,NA
N2_CB4856_chrom_sub_cisp_scanner_1.plate8,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data/,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data//N2_CB4856_chrom_sub_cisp_scanner_1.plate8,1,1_N2_CB4856_chrom_sub_cisp_scanner_1.plate8,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data_cropped/1_N2_CB4856_chrom_sub_cisp_scanner_1.plate8,H_0uM_2,0uM,TRUE,2,24-05-20_13-28,NA,NA,H,NA
N2_CB4856_chrom_sub_cisp_scanner_1.plate8,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data/,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data//N2_CB4856_chrom_sub_cisp_scanner_1.plate8,2,2_N2_CB4856_chrom_sub_cisp_scanner_1.plate8,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data_cropped/2_N2_CB4856_chrom_sub_cisp_scanner_1.plate8,A_100uM_2,100uM,TRUE,2,24-05-20_13-17,NA,NA,A,NA
N2_CB4856_chrom_sub_cisp_scanner_1.plate8,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data/,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data//N2_CB4856_chrom_sub_cisp_scanner_1.plate8,3,3_N2_CB4856_chrom_sub_cisp_scanner_1.plate8,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data_cropped/3_N2_CB4856_chrom_sub_cisp_scanner_1.plate8,F_0uM_2,0uM,TRUE,2,24-05-20_13-25,NA,NA,F,NA
N2_CB4856_chrom_sub_cisp_scanner_1.plate9,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data/,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data//N2_CB4856_chrom_sub_cisp_scanner_1.plate9,1,1_N2_CB4856_chrom_sub_cisp_scanner_1.plate9,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data_cropped/1_N2_CB4856_chrom_sub_cisp_scanner_1.plate9,B_0uM_2,0uM,TRUE,2,24-05-20_13-11,NA,NA,B,NA
N2_CB4856_chrom_sub_cisp_scanner_1.plate9,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data/,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data//N2_CB4856_chrom_sub_cisp_scanner_1.plate9,2,2_N2_CB4856_chrom_sub_cisp_scanner_1.plate9,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data_cropped/2_N2_CB4856_chrom_sub_cisp_scanner_1.plate9,F_100uM_2,100uM,TRUE,2,24-05-20_13-31,NA,NA,F,NA
N2_CB4856_chrom_sub_cisp_scanner_1.plate9,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data/,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data//N2_CB4856_chrom_sub_cisp_scanner_1.plate9,3,3_N2_CB4856_chrom_sub_cisp_scanner_1.plate9,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data_cropped/3_N2_CB4856_chrom_sub_cisp_scanner_1.plate9,D_0uM_2,0uM,TRUE,2,24-05-20_13-14,NA,NA,D,NA
N2_CB4856_chrom_sub_cisp_scanner_1.plate9,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data/,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data//N2_CB4856_chrom_sub_cisp_scanner_1.plate9,4,4_N2_CB4856_chrom_sub_cisp_scanner_1.plate9,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data_cropped/4_N2_CB4856_chrom_sub_cisp_scanner_1.plate9,H_100uM_2,100uM,TRUE,2,24-05-20_13-33,NA,NA,H,NA
N2_CB4856_chrom_sub_cisp_scanner_2.plate1,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data/,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data//N2_CB4856_chrom_sub_cisp_scanner_2.plate1,1,1_N2_CB4856_chrom_sub_cisp_scanner_2.plate1,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data_cropped/1_N2_CB4856_chrom_sub_cisp_scanner_2.plate1,G_0uM_3,0uM,TRUE,3,24-05-20_13-26,NA,NA,G,NA
N2_CB4856_chrom_sub_cisp_scanner_2.plate1,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data/,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data//N2_CB4856_chrom_sub_cisp_scanner_2.plate1,2,2_N2_CB4856_chrom_sub_cisp_scanner_2.plate1,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data_cropped/2_N2_CB4856_chrom_sub_cisp_scanner_2.plate1,C_100uM_3,100uM,FALSE,3,24-05-20_13-20,NA,NA,C,NA
